wafer_id,temperature_c,pressure_torr,gas_flow_sccm,etch_rate_nm_min,voltage_v,current_ma,process_step,defect_label,process_step_encoded,power_consumption,zscore_anomaly,zscore_score,isolation_forest,iforest_score,oneclass_svm,svm_score,lof_anomaly,lof_score,mahalanobis_score,mahalanobis_anomaly,risk_score,ensemble_votes,ensemble_prediction
1,457.4507122951685,747.287209539319,113.21505269512778,93.85261426832857,5.139314499066727,20.341747057493965,Deposition,0,1,104.54263558892667,0,0.7057725304618007,0,-0.1928835074918111,0,-0.32868550462308943,0,-0.5927834871097364,1.25596824319466,0,9.821615722498061,0,0
2,447.9260354824322,746.3975767484844,116.94500536946347,94.73875277007753,5.113329437014267,20.02451086126308,Lithography,0,3,102.39192084870842,0,0.6965174168098078,0,-0.19669487034506505,0,-0.35520426492819335,0,-0.5956061880300367,0.9541766373114723,0,6.9820661289469665,0,0
3,459.7153280715104,706.1307048210996,114.02618938954858,95.51435902870064,4.625392061677804,19.13768986716527,Deposition,0,1,88.51931879043799,0,1.767500329007071,0,-0.15173358024788985,0,-0.23479426820686788,0,-0.5598884364316299,2.3582336043268106,0,26.167303249127617,0,0
4,472.8454478461204,750.0972942489569,121.1041804694612,102.57489169316943,5.231833688705495,19.994946678304427,Deposition,0,1,104.61023563542314,0,1.5229407038514162,0,-0.16735036703287726,0,-0.25006072811701674,0,-0.5734026354367769,2.042029251584344,0,21.84063657660244,0,0
5,446.48769937914994,781.9848724546523,131.97178531461913,89.02226153210606,4.403966929769353,20.98168325098589,Deposition,0,1,92.40263916823737,0,1.496761783788905,0,-0.14189792567491183,0,-0.2309711629794392,0,-0.5116021556413552,2.498894862222575,0,26.562476059316964,0,0
6,446.4879456457623,721.7730364276962,112.28957842858796,88.22922406789873,4.738326269695868,19.74767574204232,Etching,0,2,93.57093073395497,0,1.2514234644370417,0,-0.16959210519173384,0,-0.30807345971680233,0,-0.5635865423412962,1.8594294860530844,0,18.31258475500597,0,0
7,473.6881922326109,791.4544795315178,130.00820497768413,104.8929579371438,4.200364874840877,20.839535260460547,Lithography,0,3,87.5336519160464,0,2.0144241513107977,0,-0.08268302290808816,0,-0.09150576940925426,0,-0.36367132511011646,3.4026320257867235,0,40.59798737168671,0,0
8,461.51152093729365,774.6332446325301,112.18327927653112,91.2988420649496,5.623450606785126,18.326662443153907,Deposition,0,1,103.05908103630003,0,1.6038002789076278,0,-0.14414140005656279,0,-0.25378735542754105,0,-0.5315435645286575,2.6458401866006085,0,27.727847403117366,0,0
9,442.9578842109757,737.9730003408689,111.52372787503116,84.89571717138347,4.907380202421882,18.79221269770859,Oxidation,0,4,92.22053255243623,0,1.397662390445612,0,-0.14437627714467105,0,-0.21842434069248895,0,-0.5712186906721538,2.3604959383691084,0,24.469213499473106,0,0
10,458.1384006537895,755.7541108798646,128.18594618343212,91.11896046320103,5.866753613926525,18.53135899345205,Lithography,0,3,108.71891734580461,0,2.2224031252603194,0,-0.11523630415990915,0,-0.1861205183301613,0,-0.4900742649399905,3.044263246354881,0,35.82524762435092,0,0
11,443.04873460781306,807.949654229231,129.21936378007618,92.359578118048,5.321179970607798,18.86973725641519,CMP,0,0,100.40926793946824,0,1.591743387716292,0,-0.13958488779129696,0,-0.16911743807941937,0,-0.518294999001448,2.631822005361685,0,28.86694634425078,0,0
12,443.0140536964461,782.0064344051759,128.51409936762656,107.43970182180612,5.17923928534041,22.574362093412184,Oxidation,0,4,116.91802299569976,0,1.5334847329613166,0,-0.1194949314435032,0,-0.1839380002120944,0,-0.49695510487271344,2.806126607502374,0,30.268168343517505,0,0
13,453.6294340734905,760.2635096469444,106.8420259178186,102.3986096990139,4.765508922287601,21.45207758622072,CMP,0,0,102.2300671387407,0,1.4069175040976047,0,-0.1517158603490914,0,-0.17863775066542975,0,-0.5376357637503169,2.3791927052404644,0,25.41646357050785,0,0
14,421.300796330133,752.8695004911705,115.34049021927947,104.18016493305794,4.581459985725032,17.84615376263131,Deposition,0,1,81.76143936259157,0,1.925853425474331,0,-0.11817068338038034,0,-0.21734752701986826,0,-0.49704911276604014,3.030492835783801,0,33.648531223022765,0,0
15,424.1262325123045,762.2982721135498,128.2298859200332,101.55978913877428,5.209188629558778,20.87499659281691,Etching,0,2,108.74179489338007,0,1.7368066974188439,0,-0.15972808818444595,0,-0.2623370153137997,0,-0.5591699619085797,2.213506882437189,0,24.40110968867239,0,0
16,441.5656870613854,744.6470932617309,120.41541840563896,102.56994937292252,4.971394396290807,19.21883537470286,Deposition,0,1,95.54441048503334,0,0.9267293484232388,0,-0.19344900182826824,0,-0.323102488860586,0,-0.5697841156834602,1.457423381340555,0,12.849040911835024,0,0
17,434.8075331949837,696.8575148284295,109.26307153802536,89.49534298735746,4.464291873805879,18.63523082905687,Deposition,0,1,83.19310955665539,0,2.073444413069394,0,-0.10015053615306363,0,-0.1823825395585772,0,-0.40392182364073204,3.239441424390504,0,37.75561452712857,0,0
